tconst	averageRating	numVotes
tt0000001	5.7	2153
tt0000002	5.5	292
tt0000003	6.5	2189
tt0000004	5.3	187
tt0000005	6.2	2936
tt0000006	5.0	210
tt0000007	5.3	908
tt0000008	5.4	2294
tt0000009	5.4	222
tt0000010	6.8	7947
tt0000011	5.2	418
tt0000012	7.4	13467
tt0000013	5.7	2066
tt0000014	7.1	6156
tt0000015	6.1	1275
tt0000016	5.9	1658
tt0000017	4.6	379
tt0000018	5.2	662
tt0000019	5.2	34
tt0000020	4.7	411
tt0000022	5.1	1212
tt0000023	5.7	1586
tt0000024	3.7	159
tt0000025	4.2	50
tt0000026	5.6	1676
tt0000027	5.6	1271
tt0000028	5.1	1198
tt0000029	5.9	3680
tt0000030	5.2	961
tt0000031	5.5	1096
tt0000032	4.9	461
tt0000033	5.5	1133
tt0000034	4.8	253
tt0000035	5.5	87
tt0000036	4.4	653
tt0000037	4.5	79
tt0000038	4.1	233
tt0000039	3.7	36
tt0000040	4.2	82
tt0000041	6.7	2117
tt0000042	4.2	41
tt0000043	3.5	35
tt0000044	4.0	56
tt0000045	4.0	36
tt0000046	4.1	41
tt0000047	3.6	41
tt0000048	4.7	233
tt0000049	4.8	56
tt0000050	4.1	37
tt0000051	3.6	38
tt0000052	4.1	123
tt0000053	3.4	20
tt0000054	4.9	37
tt0000055	3.8	34
tt0000056	3.0	24
tt0000057	4.3	38
tt0000058	4.3	36
tt0000059	3.5	30
tt0000060	7.1	94
tt0000061	4.3	36
tt0000062	6.1	223
tt0000063	3.4	31
tt0000064	3.1	32
tt0000065	3.4	32
tt0000066	3.3	32
tt0000067	5.2	95
tt0000068	3.8	34
tt0000069	4.9	546
tt0000070	6.4	2889
tt0000071	3.4	32
tt0000072	3.6	30
tt0000073	3.5	33
tt0000074	4.6	34
tt0000075	6.3	2167
tt0000076	4.4	586
tt0000077	4.5	38
tt0000078	3.6	112
tt0000079	4.5	39
tt0000080	4.1	34
tt0000081	4.1	35
tt0000082	4.6	52
tt0000083	4.5	36
tt0000084	4.4	33
tt0000085	4.7	36
tt0000086	4.2	36
tt0000087	4.8	39
tt0000088	4.3	35
tt0000089	6.2	1102
tt0000090	4.0	34
tt0000091	6.7	4306
tt0000092	4.6	32
tt0000093	4.6	100
tt0000094	4.3	56
tt0000095	4.8	37
tt0000096	4.5	32
tt0000097	4.9	36
tt0000098	5.3	39
tt0000099	4.7	35
tt0000100	4.7	65
tt0000101	4.6	31
tt0000102	4.7	29
tt0000103	5.5	30
tt0000104	5.5	500
tt0000105	5.0	32
tt0000106	4.5	26
tt0000107	5.3	31
tt0000108	4.4	590
tt0000109	4.5	574
tt0000110	4.3	581
tt0000111	4.4	595
tt0000112	4.5	568
tt0000113	4.3	595
tt0000114	5.1	33
tt0000115	4.9	37
tt0000116	5.2	30
tt0000117	5.0	188
tt0000118	4.8	47
tt0000119	5.0	75
tt0000120	4.8	66
tt0000121	4.3	123
tt0000122	5.1	34
tt0000123	5.4	201
tt0000124	5.3	33
tt0000125	4.6	17
tt0000126	5.8	34
tt0000127	4.4	30
tt0000128	5.5	42
tt0000129	6.5	55
tt0000130	5.1	31
tt0000131	5.7	1639
tt0000132	5.1	1214
tt0000133	6.3	38
tt0000134	4.5	23
tt0000135	6.2	89
tt0000137	4.9	44
tt0000138	6.4	1311
tt0000139	5.3	29
tt0000140	4.9	345
tt0000141	5.1	146
tt0000142	5.2	33
tt0000143	5.0	303
tt0000144	5.2	375
tt0000145	3.6	15
tt0000146	5.0	28
tt0000147	5.3	556
tt0000148	3.4	17
tt0000149	4.8	24
tt0000150	5.4	201
tt0000151	4.6	77
tt0000152	6.2	316
tt0000153	5.7	563
tt0000154	3.6	19
tt0000155	5.2	31
tt0000156	3.9	26
tt0000157	3.9	17
tt0000158	3.2	17
tt0000159	5.1	166
tt0000160	5.3	29
tt0000161	3.6	16
tt0000162	5.4	508
tt0000163	5.0	15
tt0000164	5.0	344
tt0000165	4.7	152
tt0000166	3.6	20
tt0000167	4.1	170
tt0000168	3.2	18
tt0000169	4.0	63
tt0000170	5.2	296
tt0000171	3.6	20
tt0000172	6.0	1144
tt0000173	4.6	47
tt0000174	4.5	152
tt0000175	4.9	257
tt0000176	4.7	15
tt0000177	4.6	261
tt0000178	5.2	275
tt0000179	4.7	50
tt0000181	6.6	66
tt0000182	4.8	604
tt0000183	5.7	38
tt0000184	4.8	352
tt0000186	4.9	26
tt0000187	4.8	66
tt0000188	3.7	13
tt0000189	7.6	11
tt0000190	4.7	168
tt0000192	4.5	199
tt0000194	5.4	86
tt0000196	4.7	35
tt0000197	4.1	23
tt0000198	4.3	22
tt0000199	4.0	15
tt0000200	3.5	15
tt0000201	5.6	31
tt0000204	5.6	16
tt0000205	4.9	34
tt0000206	5.4	16
tt0000207	5.5	15
tt0000208	5.7	614
tt0000209	4.8	37
tt0000210	5.1	39
tt0000211	7.4	5069
tt0000213	4.7	284
tt0000214	4.0	124
tt0000215	4.0	145
tt0000216	6.6	10
tt0000218	5.9	775
tt0000219	6.6	34
tt0000222	4.6	272
tt0000223	5.4	20
tt0000225	5.1	41
tt0000226	6.0	10
tt0000228	4.9	324
tt0000229	4.4	128
tt0000230	6.5	1954
tt0000231	3.7	22
tt0000234	6.2	85
tt0000235	6.2	1094
tt0000239	5.5	309
tt0000240	4.4	99
tt0000242	6.4	1453
tt0000245	6.1	57
tt0000246	6.4	1149
tt0000247	4.9	553
tt0000248	6.1	1788
tt0000251	5.2	177
tt0000253	4.2	32
tt0000256	4.8	191
tt0000261	5.4	101
tt0000264	5.7	523
tt0000265	4.4	166
tt0000269	4.7	153
tt0000271	6.4	14
tt0000272	5.6	961
tt0000273	5.5	737
tt0000274	5.6	314
tt0000276	6.8	34
tt0000277	6.2	81
tt0000278	5.8	24
tt0000279	4.2	28
tt0000280	4.4	28
tt0000281	4.6	27
tt0000283	5.8	20
tt0000284	5.3	272
tt0000285	5.3	33
tt0000286	5.7	323
tt0000287	4.9	183
tt0000288	5.2	230
tt0000292	5.1	118
tt0000296	5.7	280
tt0000299	5.7	330
tt0000300	6.8	1522
tt0000301	4.4	484
tt0000302	5.3	328
tt0000304	6.0	1509
tt0000306	5.3	271
tt0000307	4.9	105
tt0000308	5.2	156
tt0000309	6.1	1029
tt0000310	7.4	37
tt0000313	5.8	880
tt0000318	5.2	20
tt0000319	5.7	316
tt0000321	4.8	253
tt0000328	5.6	17
tt0000335	5.8	59
tt0000337	4.9	393
tt0000340	4.9	353
tt0000341	4.9	412
tt0000344	5.0	11
tt0000346	4.7	257
tt0000347	4.4	129
tt0000349	5.4	156
tt0000350	5.7	813
tt0000352	5.3	70
tt0000353	5.1	404
tt0000355	6.2	846
tt0000357	5.8	549
tt0000358	6.1	837
tt0000359	7.1	3392
tt0000361	7.4	28
tt0000363	6.2	223
tt0000364	5.5	181
tt0000368	6.6	25
tt0000370	5.6	661
tt0000373	6.3	146
tt0000376	5.9	25
tt0000377	6.0	161
tt0000379	4.2	15
tt0000380	6.8	30
tt0000381	3.7	30
tt0000384	5.8	408
tt0000387	5.1	463
tt0000388	5.2	158
tt0000399	6.1	845
tt0000400	5.8	19
tt0000401	6.0	9
tt0000402	6.2	16
tt0000403	5.8	9
tt0000404	5.6	9
tt0000405	5.8	9
tt0000406	5.7	51
tt0000407	3.7	49
tt0000409	5.1	305
tt0000410	6.7	1149
tt0000412	4.5	33
tt0000413	5.5	545
tt0000414	5.4	856
tt0000415	5.0	10
tt0000416	5.4	228
tt0000417	8.1	58434
tt0000420	6.2	3043
tt0000422	5.0	11
tt0000423	5.5	280
tt0000425	4.9	28
tt0000426	4.0	24
tt0000430	5.8	753
tt0000432	5.7	272
tt0000436	6.1	576
tt0000437	5.1	332
tt0000439	7.2	21887
tt0000440	5.4	271
tt0000441	7.3	14
tt0000442	4.5	116
tt0000443	5.9	15
tt0000446	4.9	27
tt0000447	6.4	2848
tt0000451	6.5	1126
tt0000452	4.5	126
tt0000455	6.7	2013
tt0000456	3.9	70
tt0000459	4.4	83
tt0000460	4.6	19
tt0000463	7.2	11
tt0000464	4.8	517
tt0000465	7.3	1986
tt0000469	5.8	1219
tt0000471	5.2	564
tt0000472	6.2	26
tt0000479	5.2	435
tt0000480	5.0	236
tt0000481	5.2	9
tt0000487	6.7	580
tt0000488	6.9	935
tt0000491	3.7	74
tt0000492	4.8	160
tt0000495	5.9	140
tt0000496	5.7	82
tt0000497	5.2	99
tt0000498	6.6	1396
tt0000499	7.5	4251
tt0000500	3.8	20
tt0000501	4.7	57
tt0000502	3.8	21
tt0000505	6.2	35
tt0000506	4.8	11
tt0000507	3.4	65
tt0000509	5.5	57
tt0000511	6.0	54
tt0000512	4.4	77
tt0000515	4.7	122
tt0000516	6.5	1212
tt0000519	5.7	456
tt0000520	6.1	72
tt0000521	5.5	373
tt0000522	2.3	18
tt0000524	5.8	864
tt0000525	5.3	58
tt0000526	4.0	74
tt0000528	5.5	20
tt0000533	4.6	51
tt0000534	6.6	1371
tt0000535	4.9	80
tt0000537	4.3	102
tt0000542	6.2	8
tt0000543	4.4	20
tt0000544	4.7	10
tt0000546	6.7	2091
tt0000548	4.5	10
tt0000550	3.3	16
tt0000552	5.6	81
tt0000553	6.5	581
tt0000554	6.2	1588
tt0000555	5.0	26
tt0000557	4.6	154
tt0000561	4.9	75
tt0000565	6.2	714
tt0000567	6.8	1496
tt0000570	3.8	63
tt0000571	6.7	75
tt0000574	6.0	983
tt0000575	5.7	618
tt0000576	6.0	263
tt0000578	7.2	30
tt0000580	4.2	8
tt0000581	4.3	14
tt0000582	4.7	814
